"","Papers","Partners","Journals","Citations","Years"
"449","Method of spatial high resolution imaging of a structure of a sample, the structure comprising a luminophore","SW Hell","US Patent 9,267,888, 2016","3","2016"
"450","Method of spatial high resolution imaging of a structure of a sample, the structure comprising a luminophore","SW Hell","US Patent App. 14/791,932, 2015","3","2015"
"451","Determining the distribution of a substance by scanning with a measuring front","SW Hell","US Patent 9,024,279, 2015","3","2015"
"452","How the optical microscope became a nanoscope","E Betzig, SW Hell, WE Moerner","The Nobel Prize in Chemistry, 2014","3","2014"
"453","Determining the Distribution of a Substance by Scanning with a Measuring Front","SW Hell","US Patent App. 13/657,071, 2013","3","2013"
"454","STED live cell super-resolution imaging shows proliferative remodeling of T-tubule membrane structures after myocardial infarction","E Wagner, M Lauterbach, T Kohl, V Westphal, GSB Williams, ...","Circ Res 111 (4), 402-414, 2012","3","2012"
"455","Exploring membrane dynamics by fluorescence nanoscopy","C Eggeling, V Mueller, C Ringemann, SJ Sahl, M Leutenegger, ...","Biophysical Journal 98 (3), 619a, 2010","3","2010"
"456","Method of determining a measurement value on the basis of single molecule events","C Eggeling, A Schönle, SW Hell, M Hilbert","US Patent App. 12/687,969, 2010","3","2010"
"457","Correction to A Rapidly Maturing Far-Red Derivative of DsRed-Express2 for Whole-Cell Labeling","RL Strack, B Hein, D Bhattacharyya, SW Hell, RJ Keenan, BS Glick","Biochemistry 48 (40), 9704-9704, 2009","3","2009"
"458","Magnifying power","P Keller, A Schmidt, G Marshall, K Yoshida, BG Saar, Y Zeng, K Willig, ...","Nature 459 (629), 10.1038, 2009","3","2009"
"459","Nanoskopie mit fokussiertem Licht","SW Hell","Physik Journal 12, 47-53, 2007","3","2007"
"460","Hochauflösende 3D-Lichtmikroskopie","SW Hell","Medizinische Physik 3, 179-214, 2005","3","2005"
"461","Asymmetric Diarylethenes with Oxidized 2-Alkylbenzothiophen-3-yl Units: Chemistry, Fluorescence, and Photoswitching","K Uno, ML Bossi, T Konen, VN Belov, M Irie, SW Hell","Advanced Optical Materials, 1801746, 2019","2","2019"
"462","High-Affinity Functional Fluorescent Ligands for Human ß-Adrenoceptors","GY Mitronova, G Lukinavicius, AN Butkevich, T Kohl, VN Belov, ...","Scientific reports 7 (1), 12319, 2017","2","2017"
"463","High-resolution fluorescence microscopy using a structured beam of excitation light","SW Hell","US Patent 9,719,928, 2017","2","2017"
"464","High-resolution fluorescence microscopy using a structured beam of excitation light","SW Hell","US Patent App. 15/189,300, 2016","2","2016"
"465","Fluorescent dyes with phosphorylated hydroxymethyl groups and their use in light microscopy and imaging techniques","SW Hell, S Nizamov, G Donnert, K Kolmakov, H Schill, L Kastrup, ...","US Patent 9,164,086, 2015","2","2015"
"466","RESOLFT Nanoscopy of Fixed Cells Using a Z-Domain Based Fusion Protein for Labelling","P Ilgen, T Grotjohann, DC Jans, M Kilisch, SW Hell, S Jakobs","PloS one 10 (9), e0136233, 2015","2","2015"
"467","Fluorescent dyes with phosphorylated hydroxymethyl groups and their use in light microscopy and imaging techniques","SW Hell, S Nizamov, G Donnert, K Kolmakov, H Schill, L Kastrup, ...","US Patent App. 13/702,252, 2014","2","2014"
"468","Analysis of fluorescence microscopy super-resolution data of protein assemblies","T Kohl, U Parlitz, SW Hell, S Luther, SE Lehnart","Biophysical Journal 104 (2), 444a, 2013","2","2013"
"469","Man hält nur mit Spaß durch","S Hell, M Doktorvater","Nachr. Chem 57, 1097-1099, 2009","2","2009"
"470","isoSTED Microscopy","R Schmidt, A Egner, SW Hell","Frontiers in Optics, FTuS2, 2008","2","2008"
"471","Switchable Fluorescent and Solvatochromic Molecular Probes Based on 4-Amino-N-methylphthalimide and a Photochromic Diarylethene (Eur. J. Org. Chem. 15/2008)","SF Yan, VN Belov, ML Bossi, SW Hell","European Journal of Organic Chemistry 2008 (15), 2503-2503, 2008","2","2008"
"472","Nanoscopy: The future of optical microscopy","SW Hell, A Schönle","Biomedical Optical Imaging, 237-263, 2006","2","2006"
"473","Multifocal multiphoton microscopy as an efficient 4-D imaging method","M Straub, SW Hell","Biomedical Topical Meeting, BMA2, 1999","2","1999"
"474","Resolving fluorescence beads at 100-200 nm axial distance with a two-photon 4Pi-microscope operating in the near infrared (Optics Comm. 120 (1995) 129)","SW Hell, M Schrader, PE Hänninen, E Soini","Optics Communications 128, 394-394, 1996","2","1996"
"475","Dyes with phosphinic acid, phosphinate, phosphonate and phosphonamidate substituents as auxochromic groups and methods for preparing the same","M SEDNEV, A BUTKEVICH, H SHOJAEI, V Belov, S Hell, C Wurm, ...","US Patent App. 10/174,202, 2019","1","2019"
"476","Locally imaging a structure in a sample at high spatial resolution","SW Hell, F Goettfert, V Westphal","US Patent 9,891,417, 2018","1","2018"
"477","Locally Imaging a Structure in a Sample at High Spatial Resolution","SW Hell, F Goettfert, V Westphal","US Patent App. 15/271,888, 2017","1","2017"
"478","Fluorescent dyes with phosphorylated hydroxymethyl groups and their use in light microscopy and imaging techniques","SW Hell, S Nizamov, G Donnert, K Kolmakov, H Schill, L Kastrup, ...","US Patent 9,523,678, 2016","1","2016"
"479","Fluorescent dyes with phosphorylated hydroxymethyl groups and their use in light microscopy and imaging techniques","SW Hell, S Nizamov, G Donnert, K Kolmakov, H Schill, L Kastrup, ...","US Patent 9,523,678, 2016","1","2016"
"480","Optical microscopy: the resolution revolution","SW Hell","IET, 2016","1","2016"
"481","Method of spatial high resolution imaging of a structure of a sample, the structure comprising a luminophore","SW Hell","US Patent 9,377,406, 2016","1","2016"
"482","Fluorescent dyes with phosphorylated hydroxymethyl groups and their use in light microscopy and imaging techniques","SW Hell, S Nizamov, G Donnert, K Kolmakov, H Schill, L Kastrup, ...","US Patent App. 14/829,169, 2016","1","2016"
"483","Method of spatial high resolution imaging of a structure of a sample, the structure comprising a luminophore","SW Hell","US Patent App. 14/791,919, 2015","1","2015"
"484","Far-Field Optical Nanoscopy","C Eggeling, SW Hell","","1","2015"
"485","Method and Apparatus for Imaging a Structure Marked with a Fluorescent Dye","SW Hell, J Schneider, J Engelhardt","US Patent App. 14/102,758, 2014","1","2014"
"486","Lipid Hop Diffusion on the Plasma Membrane-a STED-FCS Investigation","DM Andrade, M Clausen, BC Lagerholm, SW Hell, C Eggeling","Biophysical Journal 104 (2), 193a-194a, 2013","1","2013"
"487","New insight into lipid-protein membrane organization and its functionality with super-resolution STED microscopy","C Eggeling, V Mueller, A Honigmann, DM Andrade, JB de la Serna, ...","Biophysical Journal 104 (2), 5a, 2013","1","2013"
"488","Inside Cover: Red-Emitting Rhodamines with Hydroxylated, Sulfonated, and Phosphorylated Dye Residues and Their Use in Fluorescence Nanoscopy (Chem. Eur. J. 41/2012)","K Kolmakov, CA Wurm, R Hennig, E Rapp, S Jakobs, VN Belov, SW Hell","Chemistry-A European Journal 18 (41), 12906-12906, 2012","1","2012"
"489","reversibly switchable Enhanced Green Fluorescent Protein (rsegfp): a novel photochromic fluorescent protein enables Resolft-type microscopy of living cells at low light …","T Grotjohann, I Testa, M Leutenegger, C Eggeling, S Hell, S Jakobs","Protein Science 21, 163, 2012","1","2012"
"490","STED nanoscopy of cardiac RyR2 clusters and sub-structure analysis after myocardial infarction","T Kohl, U Parlitz, M Lauterbach, HTM Tuan, GSB Williams, V Westphal, ...","Biophysical Journal 102 (3), 305a, 2012","1","2012"
"491","Dreiklang-the one, two, three in photoswitching.","T Brakemann, A Stiel, G Weber, M Andresen, I Testa, H Urlaub, ...","","1","2012"
"492","Single Molecule STED miscroscopy with photo-labile organic chromophores","C Forthmann, P Tinnefeld, SW Hell, M Sauer","Small 6, 1379-1384, 2010","1","2010"
"493","synaptic Vesicle Recycling Investigated By Super-resolution Microscopy: W04-04","SO Rizzoli, V Westphal, M Lauterbach, D Kamin, SW Hell","Journal of Neurochemistry 108, 55-56, 2009","1*","2009"
"494","Optimizing Fluorophores For Super-resolution Fluorescence STED Microscopy","KY Han, E Rittweger, SE Irvine, C Eggeling, SW Hell","Biophysical Journal 96 (3), 637a, 2009","1","2009"
"495","Inside Cover: Direct Light-Driven Modulation of Luminescence from Mn-Doped ZnSe Quantum Dots (Angew. Chem. Int. Ed. 14/2008)","SE Irvine, T Staudt, E Rittweger, J Engelhardt, SW Hell","Angewandte Chemie International Edition 47 (14), 2516-2516, 2008","1","2008"
"496","Recent Developments in STED-Microscopy","B Harke, KI Willig, G Donnert, SW Hell","Frontiers in Optics, FThB4, 2007","1","2007"
"497","Breaking the barrier: fluorescence microscopy with diffraction-unlimited resolution","SW Hell","","1","2007"
"498","of Book: Sciene of microscopy. Vol. 2","SW Hell, A Schoenle","Springer, 2007","1","2007"
"499","Enhancing the applicability of fluorescence fluctuation spectroscopy through reduced focal volumes generated by stimulated emission depletion","C Eggeling, L Kastrup, H Blom, SW Hell","","1","2005"
"500","Light microscopy on the move-Introduction","PIH Bastiaens, SW Hell","Journal of Structural Biology 147 (1), 1-2, 2004","1","2004"
"501","4Pi-confocal microscopy of live cells [4620-28]","K Bahlmann, S Jakobs, SW Hell","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 137-142, 2002","1","2002"
"502","GENERAL PHYSICS: Nuclear, Atomic, and Molecular (PACS 01-39)-Three-dimensional super-resolution with a 4Pi-confocal microscope using image restoration","M Schrader, SW Hell, HTM Voort","Journal of Applied Physics 84 (8), 4033-4042, 1998","1","1998"
"503","4Pi-confocal Microscopy Restored with the 4Pi-PSF Provides 3D-resolution in the 100 nm Range","SW Hell, M Schrader, M Nagorni, HTM Van der Voort","CELL VISION 4, 187-187, 1997","1","1997"
"504","Light scattering in 4Pi confocal microscopy","M Schrader, SW Hell, T Wilson","Three-Dimensional Microscopy: Image Acquisition and Processing II 2412, 95-99, 1995","1","1995"
"505","Two-photon excitation in time-resolved fluorescence microscopy","PE Hanninen, SW Hell, A Kuusisto, L Lehtela, J Salo, EJ Soini","Three-Dimensional Microscopy: Image Acquisition and Processing 2184, 66-72, 1994","1","1994"
"506","Method of locally imaging a structure in a sample at high spatial resolution in order to detect reactions of an object of interest to altered environmental conditions","SW Hell, F Goettfert, V Westphal","US Patent App. 16/123,280, 2019","","2019"
"507","Dyes with phosphinic acid, phosphinate, phosphonate and phosphonamidate substituents as auxochromic groups and methods for preparing the same","M Sednev, A Butkevich, H Shojaei, V Belov, S Hell, C Wurm, D Kamin","US Patent App. 15/886,494, 2019","","2019"
"508","Method of and Apparatus for Spatially Measuring Nano-Scale Structures","SW Hell, Y Eilers, K Gwosch, F Balzarotti","US Patent App. 15/912,928, 2018","","2018"
"509","Large Stokes shift fluorescent dyes based on 9-amino-and 9-phosphonylpyronin scaffolds and their use in bioimaging applications.","A Butkevich, MV Sednev, G Lukinavicius, H Shojaei, E d'Este, VN Belov, ...","256th National Meeting and Exposition of the American-Chemical-Society (ACS …, 2018","","2018"
"510","Novel dyes with phosphinic acid, phosphinate, phosphonate and phosphonamidate substituents as auxochromic groups and methods for preparing the same","M SEDNEV, A BUTKEVICH, H SHOJAEI, V Belov, S Hell, C Wurm, ...","US Patent App. 15/886,494, 2018","","2018"
"511","Nanoscopy with Multiple Off-States","JG Danzl, S Sidenstein, C Gregor, N Urban, P Ilgen, S Jakobs, SW Hell","Biophysical Journal 114 (3), 348a, 2018","","2018"
"512","Scanning luminescence light microscope with gratings of luminescence inhibition light and further light","SW Hell, A Chmyrov","US Patent 9,835,838, 2017","","2017"
"513","Abstracts from the 8th International Conference on cGMP Generators, Effectors and Therapeutic Implications","GT Milne, P Sandner, KA Lincoln, PC Harrison, H Chen, H Wang, ...","BMC Pharmacology and Toxicology 18 (1), 64, 2017","","2017"
"514","Ultrastructural examination of double-strand break repair foci with super high-resolution microscopy.","M Frister, RL Perez, J Engelhardt, SW Hell, N Nicolay, PE Huber","23rd Annual Meeting of the German-Radiation-Oncology (DEGRO), S55-S55, 2017","","2017"
"515","Hydrophilized cell-permeant dyes with secondary alcohol functionalities for live cell STED imaging","A Butkevich, V Belov, K Kolmakov, G Lukinavicius, D Kamin, S Sidenstein, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 253, 2017","","2017"
"516","Coordinate-Targeted Fluorescence Nanoscopy with Multiple Off-States","JG Danzl, S Sidenstein, C Gregor, N Urban, P Ilgen, S Jakobs, S Hell","Biophysical Journal 112 (3), 186a-187a, 2017","","2017"
"517","STED microscopy with pulsed excitation, continuous stimulation, and gated registration of spontaneously emitted fluorescence light","SW Hell, J Engelhardt, M Reuss, V Westphal, C Eggeling, G Moneron, ...","US Patent 9,551,658, 2017","","2017"
"518","Scanning Luminescence Light Microscope with Gratings of Luminescence Inhibition Light and Further Light","SW Hell, A Chmyrov","US Patent App. 15/180,491, 2016","","2016"
"519","Back Cover: Carboxylated Photoswitchable Diarylethenes for Biolabeling and Super-Resolution RESOLFT Microscopy (Angew. Chem. Int. Ed. 49/2016)","B Roubinet, ML Bossi, P Alt, M Leutenegger, H Shojaei, S Schnorrenberg, ...","Angewandte Chemie International Edition 55 (49), 15444-15444, 2016","","2016"
"520","Rücktitelbild: Carboxylierte photoschaltbare Diarylethene als Biomarkierungen für hochauflösende RESOLFT-Mikroskopie (Angew. Chem. 49/2016)","B Roubinet, ML Bossi, P Alt, M Leutenegger, H Shojaei, S Schnorrenberg, ...","Angewandte Chemie 128 (49), 15670-15670, 2016","","2016"
"521","Calcium promotes syntaxin 1 mesoscale domain formation through phosphatidylinositol 4, 5-bisphosphate","D Milovanovic, A Honigmann, G van den Bogaart, SW Hell, R Jahn","The FASEB Journal 30 (1_supplement), 876.1-876.1, 2016","","2016"
"522","Fluorescent dyes for multicolor STED microscopy in living cells","A Butkevich, G Mitronova, SC Sidenstein, J Klocke, D Kamin, D Meineke, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 251, 2016","","2016"
"523","In vivo super-resolution RESOLFT microscopy of Drosophila melanogaster","S Sebastian, G Tim, V Gerd, H Alf, SW Hell, S Jakobs","eLife 5, 2016","","2016"
"524","Resolving the molecular architecture of the NPC with 3D super-resolution fluorescence microscopy.","V Jimenez-Sabinina, M Bates, AB Szymborska, B Nijmeijer, ...","","","2016"
"525","Live cell 4pi nanoscopy","U Boehm, R Schmidt, SW Hell","EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS 44, S75-S75, 2015","","2015"
"526","A lipid bound actin meshwork organizes liquid phase separation in model membranes","A Honigmann, S Sadeghi, J Keller, SW Hell, C Eggeling, R Vink","EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS 44, S113-S113, 2015","","2015"
"527","Fluorescence nanoscopy with stochastic switching and 4Pi detection","M Bates, A Szymborska, J Ellenberg, SW Hell","EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS 44, S75-S75, 2015","","2015"
"528","Super-hub mechanism of calcium signaling in atria.","S Brandenburg, T Kohl, K Gusev, E Wagner, S Sossalla, G Hasenfuss, ...","40th Congress of the Federation-of-European-Biochemical-Societies (FEBS)-The …, 2015","","2015"
"529","CRISPR/Cas9-mediated endogenous protein tagging for super-resolution microscopy and its application for studying mitochondrial dynamics.","M Ratz, I Testa, SW Hell, S Jakobs","40th Congress of the Federation-of-European-Biochemical-Societies (FEBS)-The …, 2015","","2015"
"530","Far-field optical nanoscopy: principles and recent advancements","SW Hell","The European Conference on Lasers and Electro-Optics, PL_1_1, 2015","","2015"
"531","POSTER SESSION 2-ON BEHALF OF THE WORKING GROUP ON CARDIAC CELLULAR ELECTROPHYSIOLOGY","M Liu, GB Shi, H Liu, SC Dudley, S Burel, F Coyan, MR Meyer, CF Litchi, ...","EP Europace 17 (suppl_3), iii132-iii135, 2015","","2015"
"532","Nobel acceptance highlights (Conference Presentation)","SW Hell","Single Molecule Spectroscopy and Superresolution Imaging VIII 9331, 93311F, 2015","","2015"
"533","In vivo STED microscopy of the visual cortex of adult mice.","KI Willig, H Steffens, W Wegner, C Gregor, SW Hell","94th Annual Meeting of the German Physiological Society, 18-18, 2015","","2015"
"534","The Optical Microscopy Revolution","S Hell","Bulletin of the American Physical Society 60, 2015","","2015"
"535","STED-FLCS","G Vicidomini, H Ta, A Honigmann, V Mueller, MP Clausen, D Waithe, ...","Nano Letters, 2015","","2015"
"536","Rab3-interacting molecules 2Î±and 2Î² promote the abundance of voltage-gated CaV1. 3 CaÂ²â º channels at hair cell active zones","S Jung, T Oshima-Takago, R Chakrabarti, AB Wong, Z Jing, ...","Proceedings of the National Academy of Sciences of the United States of America, 2015","","2015"
"537","10th EBSA European Biophysics Congress Dresden (Germany), July 18–22, 2015","J Armitage, P Bassereau, N Dekker, A Diaspro, HJ Galla, A Garcia-Saez, ...","Eur Biophys J 44 (1), S1-S280, 2015","","2015"
"538","Nobel Prize in Chemistry: Fascinating glimpses into the nanoworld","E Betzig, SW Hell, WE Moerner, C Eggeling, L Kador, M Sauer, K Welter","Chemie in Unserer Zeit 48 (6), 2014","","2014"
"539","STED nanoscopy combined with optical tweezers reveals protein dynamics on densely covered DNA (presentation video)","I Heller, G Sitters, OD Broekmans, G Farge, C Menges, W Wende, ...","Optical Trapping and Optical Micromanipulation XI 9164, 916416, 2014","","2014"
"540","Information and Announcements","J O'Keefe, MB Moser, EI Moser, I Akasaki, H Amano, S Nakamura, ...","RESONANCE, 1066, 2014","","2014"
"541","Video Interview with Stefan Hell, the Inventor of Super-Resolution","I Köster, A Schué, S Hell","","","2014"
"542","Cover Picture: Masked Rhodamine Dyes of Five Principal Colors Revealed by Photolysis of a 2-Diazo-1-Indanone Caging Group: Synthesis, Photophysics, and Light Microscopy …","VN Belov, GY Mitronova, ML Bossi, VP Boyarskiy, E Hebisch, C Geisler, ...","Chemistry-A European Journal 20 (41), 13037-13037, 2014","","2014"
"543","P677 Superresolution microscopy reveals proliferative T-Tubule remodeling as general disease mechanism in early stages of heart failure development.","E Wagner, E Hebisch, JH Steinbrecher, V Westphal, G Hasenfuss, ...","Cardiovascular research 103, 2014","","2014"
"544","Video Talk on Super-Resolution: Overview and Stimulated Emission Depletion (STED) Microscopy","S Hell","","","2014"
"545","Cover Picture: Two-Color RESOLFT Nanoscopy with Green and Red Fluorescent Photochromic Proteins (ChemPhysChem 4/2014)","F Lavoie-Cardinal, NA Jensen, V Westphal, AC Stiel, A Chmyrov, ...","ChemPhysChem 15 (4), 545-545, 2014","","2014"
"546","filamentous actin in cortical dendrites of the living mouse visualized by superresolution: p236","H Steffens, KI Willig, SW Hell","Acta Physiologica 210, 172-173, 2014","","2014"
"547","Fusion Properties of Gliotransmitter Vesicles in Astrocytes","A Gucek, J Jorgacevski, P Singh, C Geisler, B Rituper, N Vardjan, M Kreft, ...","Biophysical Journal 106 (2), 526a, 2014","","2014"
"548","Nobel Prizes 2014","E Betzig, SW Hell, WE Moerner","Angew. Chem. Int. Ed 53, 12296, 2014","","2014"
"549","Three-dimensionally localizing light emitting molecules of unknown orientation and unknown Z-position","J Engelhardt, SW Hell, J Keller-Findeisen","US Patent 8,559,021, 2013","","2013"
"550","STED Microscopy With Pulsed Excitation, Continuous Stimulation, And Gated Registration Of Spontaneously Emitted Fluorescence Light","SW Hell, J Engelhardt, M Reuss, V Westphal, C Eggeling, G Moneron, ...","US Patent App. 13/899,938, 2013","","2013"
"551","Proliferative membrane changes of T-tubules and cell-wide network changes during cardiac remodeling with orphaning of Ca2+ release sites are a general mechanism of heart failure","SE Lehnart, E Wagner, T Kohl, V Westphal, U Parlitz, S Luther, SW Hell, ...","European Heart Journal 34 (suppl_1), 2013","","2013"
"552","Abstracts of the 3rd European Super-Resolution User-Club Meeting","Z Lavagnino, C Sheppard, E Hosy, R Jacob, G Vicidomini, S Rizzoli, ...","","","2013"
"553","Analysis of protein assemblies from fluorescence data by superresolution microcopy","T Kohl, U Parlitz, SW Hell, S Luther, SE Lehnart","EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS 42, S101-S101, 2013","","2013"
"554","superresolution analysis identifies proliferative changes of excitable membranes (t-tubules) during cardiac remodeling leading to orphaning of Ca2+ release sites and prolonged …","E Wagner, T Kohl, HT Tuan, V Westphal, U Parlitz, S Luther, SW Hell, ...","Europace 15, ii223, 2013","","2013"
"555","Best Basic Science abstract","E Wagner, T Kohl, HTM Tuan, V Westphal, U Parlitz, S Luther, SW Hell, ...","Europace 15 (suppl_2), ii223-ii223, 2013","","2013"
"556","Nanoscopy with focused light","SW Hell","2013 Conference on Lasers & Electro-Optics Europe & International Quantum …, 2013","","2013"
"557","RESOLFT Nanoscopy in Living Cells at High Speed","A Chmyrov, J Keller, T Grotjohann, C Eggeling, SW Hell","Bio-Optics: Design and Application, JW3B. 1, 2013","","2013"
"558","Resolft Nanoscopy in Life Sciences: Unraveling Fine Details with Low Light Levels","I Testa, N Urban, K Willig, S Hell","Biophysical Journal 104 (2), 534a, 2013","","2013"
"559","STED Nanoscopy Combined with Optical Tweezers Reveals Spatial Dynamics of Proteins on Densely Covered DNA","G Sitters, I Heller, OD Broekmans, GA Farge, C Menges, W Wende, ...","Biophysical Journal 104 (2), 210a-211a, 2013","","2013"
"560","Kavli Prize in Nanoscience","TW Ebbesen, SW Hell, JB Pendry, SI Stupp, CS Hsu","Angew. Chem. Int. Ed 52, 10533, 2013","","2013"
"561","Kavli-Preis in den Nanowissenschaften","SI Stupp, CS Hsu, JB Pendry, SW Hell, TW Ebbesen","Angew. Chem. Int. Ed 52, 10533, 2013","","2013"
"562","Nanoscopy with more than a hundred thousand ‘doughnuts’","A Chmyrov, J Keller, T Grotjohann, M Ratz, E d’Este, S Jakobs, ...","Nat. Methods 10 (8), 2013","","2013"
"563","Abstracts of the 2nd European Super-Resolution User-Club Meeting","G Vicidomini, H van der Voort, E Hosy, C Eggeling, A Szymborska, ...","","","2012"
"564","sted microscopy of dendritic spines in living brain slices and in the visual cortex of a living mouse: s26","KI Willig, S Berning, NT Urban, H Steffens, SW Hell","Journal of Neurochemistry 122, 9, 2012","","2012"
"565","Three-Dimensionally Localizing Light Emitting Molecules of Unknown Orientation and Unknown Z-Position","J Engelhardt, SW Hell, J Keller-Findeisen","US Patent App. 13/441,043, 2012","","2012"
"566","dreiklang-the one, two, three in photoswitching Tanja Brakemann: 2811: 281: 281","A Stiel, G Weber, M Andresen, I Testa, H Urlaub, C Eggeling, M Wahl, ...","Protein Science 21, 164, 2012","","2012"
"567","Sharp Live Images from the Mouse Brain","H Steffens, K Willig, S Berning, P Dibaj, S Hell","","","2012"
"568","S-Adenosyl-L-Methionine Induced RyR2 Subconductance: Evidence for an Allosteric Mechanism","EM Balog, AJ Gaboardi","Biophysical Journal 102 (3), 305a-306a, 2012","","2012"
"569","Nanoscale Interactions of Lipids and Proteins in Live Cell Membranes Revealed by STED Nanoscopy","A Honigmann, V Mueller, V Belov, SW Hell, C Eggeling","Biophysical Journal 102 (3), 32a-33a, 2012","","2012"
"570","Live Cell Super-Resolution Imaging of Transverse Membrane Tubules in Heart Failure","E Wagner, M Lauterbach, T Kohl, V Westphal, GSB Williams, ...","Biophysical Journal 102 (3), 223a-224a, 2012","","2012"
"571","Reversibly switchable rnhanced green fluorescent protein (rsEGFP): A novel photochromic fluorescent protein enables RESOLFT-type microscopy of living cells at low light …","I Testa, M Leutenegger, C Eggeling, SW Hell, S Jakobs","","","2012"
"572","Paperwelt-STED-Mikroskopie-Scharfer Blick ins Gehirn von Mäusen","S Hell","Laborwelt-das Themenheft von Transkript, 36, 2012","","2012"
"573","RESOLFT imaging and writing with a photochromic GFP","M Leutenegger, T Grotjohann, I Testa, H Bock, NT Urban, ...","","","2012"
"574","Fluorescent light microscope for measuring a sample using red-shifted stokes lines","SW Hell, B Rankin, R Kellner, J Jethwa, T Staudt","US Patent 8,039,815, 2011","","2011"
"575","Advances in STED Nanoscopy","V Westphal, SW Hell","Laser Science, LTuA4, 2011","","2011"
"576","Webinar: Super-Resolution","PR Selvin, H Shroff, S Hell","","","2011"
"577","Webinar: Super-Resolution–Light Microscopy for the 21st Century","PR Selvin, H Shroff, S Hell","","","2011"
"578","Imaging membrane heterogeneities and domains by super-resolution STED nanoscopy","C Eggeling, V Mueller, A Honigmann, SW Hell","","","2011"
"579","A new class of reversibly switchable fluorescent proteins","M Andresen, T Brakemann, AC Stiel, I Testa, C Eggeling, S Hell, S Jakobs","","","2011"
"580","Plenary Special Lectures","SW Hell, GE Ice","Microscopy and Microanalysis 17 (S1), 32-34, 2011","","2011"
"581","Fluorescence nanoscopy: Eluding the diffraction limit by switching markers","A Schönle, SW Hell","CLEO: 2011-Laser Science to Photonic Applications, 1-3, 2011","","2011"
"582","STED Microscopy as a Characterization Tool for Three Dimensionally Nanostructured Block Copolymer Thin Films","C Ullal, R Schmidt, U Boehm, S Primpke, P Vana, S Hell","APS Meeting Abstracts, 2011","","2011"
"583","Method of fluorescence-microscopically imaging a structure in a sample with high three-dimensional spatial resolution","J Engelhardt, L Marion, S Hell","US Patent 7,897,937, 2011","","2011"
"584","Compact Multi-Color STED Microscopy","J Bueckers, L Kastrup, SW Hell","Biophysical Journal 100 (3), 354a-355a, 2011","","2011"
"585","Molecular Interactions on the Plasma Membrane Studied by STED Fluorescence Microscopy","C Eggeling, V Mueller, SJ Sahl, M Leutenegger, A Schönle, SW Hell","Biophysical Journal 100 (3), 474a, 2011","","2011"
"586","Fast STED Microscopy for Live Cell Imaging","MA Lauterbach, V Westphal, D Kamin, CK Ullal, SO Rizzoli, SW Hell","Biophysical Journal 100 (3), 355a, 2011","","2011"
"587","The RSC Chromatin Remodeling ATPase can Translocate DNA with High Force and Small Step Size","G Sirinakis, CR Clapier, Y Gao, R Viswanathan, BR Cairns, Y Zhang","Biophysical Journal 100 (3), 354a, 2011","","2011"
"588","CD95 Receptor Organization on the Plasma Membrane and its Influence on Apoptosis","J Berndt, J Beaudouin, S Wörz, K Rohr, M Reuss, S Hell, R Eils","Biophysical Journal 100 (3), 419a, 2011","","2011"
"589","Microscopy Y'All: A Preview of M&M 2011 in Nashville","D Giovannucci","Microscopy Today 19 (1), 38-39, 2011","","2011"
"590","Imaging analysis of nanodomain components of cardiac calcium release units","T Kohl, E Wagner, M Lauterbach, JH Streich, B Hagen, V Westphal, ...","<U+7B2C><U+5341><U+4E03><U+5C4A><U+56FD><U+9645><U+751F><U+7269><U+7269><U+7406><U+5927><U+4F1A>; <U+7B2C><U+5341><U+4E8C><U+5C4A><U+4E2D><U+56FD><U+751F><U+7269><U+7269><U+7406><U+5927><U+4F1A><U+8BBA><U+6587><U+96C6>, 2011","","2011"
"591","Creation and Far-Field Optical Detection of Single Spins with Nanometric Resolution","D Wildanger, SW Hell, JR Maze, S Pezzagna, J Meijer","Frontiers in Optics, PDPC6, 2010","","2010"
"592","Single Emitter Switching Based Multicolor Nanoscopy","A Schönle, I Testa, C Eggeling, SW Hell","Frontiers in Optics, FML4, 2010","","2010"
"593","isoSTED-3-D Optical Nanoscopy","R Schmidt, A Egner, SW Hell","Frontiers in Optics, FML3, 2010","","2010"
"594","Fluorescent Light Microscope For Measuring a Sample Using Red-Shifted Stokes Lines","SW Hell, B Rankin, R Kellner, J Jethwa, T Staudt","US Patent App. 12/753,349, 2010","","2010"
"595","Fluorophores: Single-Molecule STED Microscopy with Photostable Organic Fluorophores (Small 13/2010)","R Kasper, B Harke, C Forthmann, P Tinnefeld, SW Hell, M Sauer","Small 6 (13), 2010","","2010"
"596","Super-Resolution Imaging of Cardiac Signaling Microdomains by STED Microscopy","T Kohl, MA Lauterbach, E Wagner, V Westphal, B Hagen, WJ Lederer, ...","JOURNAL OF GENERAL PHYSIOLOGY 136 (1), 9A-9A, 2010","","2010"
